timestamp: 11/05/2015 8:14:57.732 PM, source: 20002, destination: 41192, Sequence # : 81, ACK # : 72, fin: 0 Estimated RTT: 2 ms
timestamp: 11/05/2015 8:14:57.732 PM, source: 20002, destination: 41192, Sequence # : 82, ACK # : 73, fin: 0 Estimated RTT: 2 ms
timestamp: 11/05/2015 8:14:57.732 PM, source: 20002, destination: 41192, Sequence # : 83, ACK # : 74, fin: 0 Estimated RTT: 2 ms
timestamp: 11/05/2015 8:14:57.733 PM, source: 20002, destination: 41192, Sequence # : 84, ACK # : 75, fin: 0 Estimated RTT: 2 ms
timestamp: 11/05/2015 8:14:57.735 PM, source: 20002, destination: 41192, Sequence # : 85, ACK # : 76, fin: 0 Estimated RTT: 2 ms
timestamp: 11/05/2015 8:14:57.736 PM, source: 20002, destination: 41192, Sequence # : 86, ACK # : 77, fin: 0 Estimated RTT: 2 ms
timestamp: 11/05/2015 8:14:57.736 PM, source: 20002, destination: 41192, Sequence # : 87, ACK # : 78, fin: 0 Estimated RTT: 2 ms
timestamp: 11/05/2015 8:14:57.737 PM, source: 20002, destination: 41192, Sequence # : 88, ACK # : 79, fin: 0 Estimated RTT: 2 ms
timestamp: 11/05/2015 8:14:57.737 PM, source: 20002, destination: 41192, Sequence # : 89, ACK # : 80, fin: 0 Estimated RTT: 2 ms
timestamp: 11/05/2015 8:14:57.738 PM, source: 20002, destination: 41192, Sequence # : 90, ACK # : 81, fin: 0 Estimated RTT: 2 ms
timestamp: 11/05/2015 8:14:57.738 PM, source: 20002, destination: 41192, Sequence # : 91, ACK # : 82, fin: 0 Estimated RTT: 2 ms
timestamp: 11/05/2015 8:14:57.738 PM, source: 20002, destination: 41192, Sequence # : 92, ACK # : 83, fin: 0 Estimated RTT: 2 ms
timestamp: 11/05/2015 8:14:57.739 PM, source: 20002, destination: 41192, Sequence # : 93, ACK # : 84, fin: 0 Estimated RTT: 2 ms
timestamp: 11/05/2015 8:14:57.739 PM, source: 20002, destination: 41192, Sequence # : 94, ACK # : 85, fin: 0 Estimated RTT: 2 ms
timestamp: 11/05/2015 8:14:57.742 PM, source: 20002, destination: 41192, Sequence # : 95, ACK # : 86, fin: 0 Estimated RTT: 2 ms
timestamp: 11/05/2015 8:14:57.742 PM, source: 20002, destination: 41192, Sequence # : 96, ACK # : 87, fin: 0 Estimated RTT: 2 ms
timestamp: 11/05/2015 8:14:57.743 PM, source: 20002, destination: 41192, Sequence # : 97, ACK # : 88, fin: 0 Estimated RTT: 2 ms
timestamp: 11/05/2015 8:14:57.744 PM, source: 20002, destination: 41192, Sequence # : 98, ACK # : 89, fin: 0 Estimated RTT: 2 ms
timestamp: 11/05/2015 8:14:57.744 PM, source: 20002, destination: 41192, Sequence # : 99, ACK # : 90, fin: 0 Estimated RTT: 2 ms
timestamp: 11/05/2015 8:14:57.748 PM, source: 20002, destination: 41192, Sequence # : 100, ACK # : 91, fin: 0 Estimated RTT: 3 ms
timestamp: 11/05/2015 8:14:57.795 PM, source: 20002, destination: 41192, Sequence # : 101, ACK # : 101, fin: 0 Estimated RTT: 3 ms
timestamp: 11/05/2015 8:14:57.795 PM, source: 20002, destination: 41192, Sequence # : 102, ACK # : 101, fin: 0 Estimated RTT: 3 ms
timestamp: 11/05/2015 8:14:57.797 PM, source: 20002, destination: 41192, Sequence # : 103, ACK # : 101, fin: 0 Estimated RTT: 3 ms
timestamp: 11/05/2015 8:14:57.798 PM, source: 20002, destination: 41192, Sequence # : 104, ACK # : 101, fin: 0 Estimated RTT: 3 ms
timestamp: 11/05/2015 8:14:57.799 PM, source: 20002, destination: 41192, Sequence # : 105, ACK # : 101, fin: 0 Estimated RTT: 4 ms
timestamp: 11/05/2015 8:14:57.800 PM, source: 20002, destination: 41192, Sequence # : 106, ACK # : 101, fin: 0 Estimated RTT: 4 ms
timestamp: 11/05/2015 8:14:57.800 PM, source: 20002, destination: 41192, Sequence # : 107, ACK # : 101, fin: 0 Estimated RTT: 4 ms
timestamp: 11/05/2015 8:14:57.801 PM, source: 20002, destination: 41192, Sequence # : 108, ACK # : 101, fin: 0 Estimated RTT: 5 ms
timestamp: 11/05/2015 8:14:57.801 PM, source: 20002, destination: 41192, Sequence # : 109, ACK # : 101, fin: 0 Estimated RTT: 5 ms
timestamp: 11/05/2015 8:14:57.802 PM, source: 20002, destination: 41192, Sequence # : 110, ACK # : 101, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.805 PM, source: 20002, destination: 41192, Sequence # : 111, ACK # : 102, fin: 0 Estimated RTT: 6 ms
